alpha,coverage,macro_f1,avg_set_size,singleton_rate,tpr,fpr,coverage_1080Lines,coverage_1400Ripples,coverage_Air_Compressor,coverage_Blip,coverage_Chirp,coverage_Extremely_Loud,coverage_Helix,coverage_Koi_Fish,coverage_Light_Modulation,coverage_Low_Frequency_Burst,coverage_Low_Frequency_Lines,coverage_No_Glitch,coverage_None_of_the_Above,coverage_Paired_Doves,coverage_Power_Line,coverage_Repeating_Blips,coverage_Scattered_Light,coverage_Scratchy,coverage_Tomte,coverage_Violin_Mode,coverage_Wandering_Line,coverage_Whistle,setsize_1080Lines,setsize_1400Ripples,setsize_Air_Compressor,setsize_Blip,setsize_Chirp,setsize_Extremely_Loud,setsize_Helix,setsize_Koi_Fish,setsize_Light_Modulation,setsize_Low_Frequency_Burst,setsize_Low_Frequency_Lines,setsize_No_Glitch,setsize_None_of_the_Above,setsize_Paired_Doves,setsize_Power_Line,setsize_Repeating_Blips,setsize_Scattered_Light,setsize_Scratchy,setsize_Tomte,setsize_Violin_Mode,setsize_Wandering_Line,setsize_Whistle
0.1864,0.811314,0.557796,3.201237,0.259459,0.811314,0.113806,0.808271,0.825459,0.78025,0.789262,0.819892,0.800266,0.820621,0.838356,0.801027,0.814171,0.802632,0.796321,0.816489,0.864542,0.808786,0.794595,0.781127,0.87176,0.803789,0.800268,0.822917,0.792829,2.182957,2.912073,4.292072,3.158389,5.116935,3.438083,4.115819,1.994521,4.089859,2.028075,2.231579,4.542707,2.864362,4.009296,1.705426,3.882432,1.483617,1.762619,5.634641,3.127346,3.694444,2.468792
0.206,0.793131,0.569165,2.990572,0.277152,0.793131,0.10464,0.790727,0.80315,0.760779,0.774497,0.810484,0.781625,0.813559,0.831507,0.784339,0.796791,0.780263,0.77661,0.791223,0.836653,0.795866,0.772973,0.762779,0.845839,0.787551,0.77748,0.802083,0.776892,2.055138,2.683727,3.926287,2.958389,4.823925,3.197071,3.831921,1.879452,3.843389,1.836898,2.022368,4.248357,2.648936,3.747676,1.589147,3.682432,1.412844,1.65075,5.317997,2.969169,3.423611,2.322709
0.2256,0.77354,0.576685,2.799131,0.293253,0.77354,0.096457,0.760652,0.783465,0.755216,0.758389,0.797043,0.76964,0.800847,0.817808,0.770218,0.782086,0.751316,0.760841,0.760638,0.814077,0.770026,0.740541,0.741809,0.81719,0.767253,0.757373,0.795139,0.755644,1.929825,2.486877,3.674548,2.758389,4.572581,2.962716,3.618644,1.772603,3.614891,1.687166,1.815789,3.971091,2.421543,3.5166,1.481912,3.422973,1.355177,1.549795,5.017591,2.80563,3.229167,2.185923
0.2452,0.753275,0.579383,2.622811,0.311436,0.753275,0.089026,0.735589,0.75853,0.731572,0.73557,0.77957,0.745672,0.795198,0.80411,0.749679,0.764706,0.723684,0.752957,0.726064,0.782205,0.75323,0.727027,0.727392,0.796726,0.745602,0.733244,0.774306,0.739708,1.814536,2.32021,3.417246,2.594631,4.333333,2.75233,3.411017,1.650685,3.415918,1.55615,1.622368,3.700394,2.18883,3.286853,1.405685,3.239189,1.279161,1.450205,4.774019,2.644772,3.038194,2.063745
0.2648,0.736378,0.584023,2.460695,0.327476,0.736378,0.08211,0.729323,0.734908,0.699583,0.720805,0.764785,0.721704,0.774011,0.793151,0.735558,0.739305,0.714474,0.738502,0.720745,0.76494,0.737726,0.710811,0.706422,0.781719,0.73613,0.707775,0.755208,0.721116,1.721805,2.156168,3.16968,2.453691,4.119624,2.579228,3.189266,1.569863,3.240051,1.419786,1.472368,3.421813,2.034574,3.084993,1.330749,3.047297,1.199214,1.375171,4.534506,2.474531,2.833333,1.944223
0.2844,0.714399,0.586391,2.279417,0.344802,0.714399,0.074525,0.710526,0.721785,0.680111,0.697987,0.744624,0.703063,0.748588,0.780822,0.709884,0.708556,0.696053,0.703022,0.695479,0.739708,0.717054,0.685135,0.685452,0.755798,0.710419,0.690349,0.737847,0.703851,1.586466,1.990814,2.901252,2.277852,3.880376,2.414115,2.954802,1.472603,3.038511,1.282086,1.326316,3.101183,1.827128,2.84595,1.254522,2.839189,1.114024,1.290587,4.258457,2.294906,2.595486,1.814077
0.304,0.695482,0.588089,2.128872,0.356802,0.695482,0.068257,0.676692,0.703412,0.67733,0.672483,0.729839,0.685752,0.713277,0.760274,0.697047,0.69385,0.676316,0.680683,0.678191,0.722444,0.687339,0.668919,0.669725,0.736698,0.695535,0.679625,0.727431,0.679947,1.461153,1.850394,2.726008,2.119463,3.672043,2.249001,2.764124,1.387671,2.890886,1.188503,1.217105,2.842313,1.672872,2.648074,1.149871,2.654054,1.070773,1.225102,4.010825,2.136729,2.392361,1.701195
0.3236,0.675707,0.58851,1.98696,0.366046,0.675707,0.062441,0.656642,0.67979,0.649513,0.661745,0.711022,0.673768,0.69774,0.741096,0.681643,0.671123,0.663158,0.65703,0.658245,0.702523,0.662791,0.655405,0.646134,0.721692,0.671177,0.663539,0.701389,0.649402,1.373434,1.688976,2.550765,2.014765,3.467742,2.13715,2.574859,1.306849,2.722721,1.110963,1.106579,2.590013,1.525266,2.447543,1.064599,2.487838,0.997379,1.162347,3.782138,1.987936,2.201389,1.589641
0.3432,0.655198,0.587063,1.848108,0.376821,0.655198,0.056805,0.639098,0.652231,0.638387,0.633557,0.685484,0.648469,0.673729,0.717808,0.662388,0.647059,0.634211,0.641261,0.647606,0.686587,0.655039,0.635135,0.634338,0.702592,0.638701,0.648794,0.673611,0.626826,1.261905,1.526247,2.361613,1.869799,3.282258,1.998668,2.408192,1.227397,2.563543,1.014706,0.985526,2.381078,1.429521,2.266932,1.0,2.310811,0.918742,1.096862,3.546685,1.855228,2.032986,1.484728
0.3628,0.634443,0.584365,1.71844,0.385454,0.634443,0.051619,0.625313,0.64042,0.616134,0.602685,0.668011,0.629827,0.655367,0.7,0.652118,0.628342,0.613158,0.618922,0.630319,0.674635,0.608527,0.614865,0.613368,0.675307,0.611637,0.628686,0.651042,0.606906,1.165414,1.414698,2.176634,1.755705,3.102151,1.890812,2.242938,1.163014,2.431322,0.950535,0.905263,2.134034,1.301862,2.118194,0.897933,2.15,0.866317,1.036835,3.270636,1.715818,1.871528,1.394422
