alpha,n_cal,qhat_1080Lines,qhat_1400Ripples,qhat_Air_Compressor,qhat_Blip,qhat_Chirp,qhat_Extremely_Loud,qhat_Helix,qhat_Koi_Fish,qhat_Light_Modulation,qhat_Low_Frequency_Burst,qhat_Low_Frequency_Lines,qhat_No_Glitch,qhat_None_of_the_Above,qhat_Paired_Doves,qhat_Power_Line,qhat_Repeating_Blips,qhat_Scattered_Light,qhat_Scratchy,qhat_Tomte,qhat_Violin_Mode,qhat_Wandering_Line,qhat_Whistle
0.71560000000000001,16333,0.0001248121260000179,0.0030228495599999849,0.078309535980225053,0.0019266605379999469,0.99935242312494665,0.017664313316000047,0.99098251201212406,0.0008233785629999657,0.044948875903999985,0.036999702453999972,0.0094629526139999864,0.130493223667,0.007152855396270974,0.51908606290817305,3.27825500001655e-06,0.041195452213000028,4.2915339999449742e-06,1.9073489999632542e-06,0.22863703966100002,0.016460955142999945,0.9976298869587481,4.8756599000054912e-05
0.73519999999999996,16333,9.7811222000032672e-05,0.0026516914369999478,0.063979625701903964,0.0017647743230000401,0.99921460851328403,0.015504658221999978,0.98410427384080001,0.00062769651399996462,0.034160673618000015,0.028270602225999975,0.008683085442000027,0.11571931839000005,0.0061842203140259899,0.47099274396900004,2.4437900000284785e-06,0.032791912556000002,2.9206280000027007e-06,1.5497209999715267e-06,0.20530652999900001,0.011870920657999995,0.99635077500715863,3.9517879000028344e-05
0.75480000000000003,16333,7.0691109000042829e-05,0.0022651553150000447,0.050565719604491965,0.0015015602110000081,0.99906413204735145,0.013534903525999953,0.97673634439706802,0.00050956010799996232,0.022193372249603049,0.022140562533999986,0.0076386928560000511,0.099188685416999989,0.0057387351989750535,0.41985458135599996,1.847744000027518e-06,0.020380675792999958,1.9669530000321345e-06,1.0132790000394465e-06,0.18510419130300004,0.006833374499999989,0.99489703075960001,3.0517577999988887e-05
0.77439999999999998,16333,6.1690807000025494e-05,0.0020206570630000309,0.042690753936999948,0.0012453794479999614,0.998885357985273,0.011288344859999966,0.95133679360151291,0.000422775745000048,0.015029788016999945,0.015971422195000029,0.007148444653000019,0.090803921222999961,0.0049955248832700416,0.375219106674194,1.3709070000311741e-06,0.014038026332999998,1.3113019999844155e-06,7.7486000005233535e-07,0.16977214813200003,0.0040925145150000342,0.99279256165027996,2.5033950999953092e-05
0.79400000000000004,16333,4.9889087999965831e-05,0.0017792582510000043,0.036942183971405029,0.0011260509489999793,0.99859940796159208,0.0098870396610000189,0.9207283034921,0.00035685300800003539,0.0087750554084780052,0.011015534401000004,0.0067058801649999555,0.076476097106999985,0.0042527318000790126,0.32845109701200004,9.5367399999268798e-07,0.0092961192129999981,8.9407000003483006e-07,5.364420000431025e-07,0.14784866571400002,0.0024893879890000026,0.98896758444607258,1.806020700001465e-05
0.81359999999999999,16333,4.225969299997967e-05,0.0014410018920000267,0.031252741813660001,0.00097662210500004676,0.99838524451479316,0.0079692602159999737,0.72364708781200004,0.0003032684329999924,0.0054117441180000503,0.0082200169560000536,0.0061202645300000302,0.062734544276999982,0.0036049485206599563,0.25960558652900001,7.1525599998345513e-07,0.0060895085330000542,5.9604600000096042e-07,3.5762799999172756e-07,0.12612265348399998,0.0016399621960000443,0.97868220508098613,1.4901161000002716e-05
0.83319999999999994,16333,2.9802322000005432e-05,0.0012185573580000275,0.026641190052000052,0.00083959102599995283,0.99787379708141,0.0070544481280000459,0.31224948167800903,0.00026112794900001735,0.0037651062010000125,0.0059403777119999557,0.0049872994420000483,0.047447204589999958,0.002968907356261985,0.20923060178800001,5.364420000431025e-07,0.0034803152079999622,4.7683699999634399e-07,2.3841899998711114e-07,0.114283025265,0.00094360113100000476,0.95607589185237885,1.0728835999951336e-05
0.8528,16333,2.4080275999982526e-05,0.00095820426899995148,0.020861327648162953,0.00072389841099995689,0.99744804971851408,0.0059809088710000013,0.093120515346526989,0.00018936395599999933,0.001998126507000042,0.0043898224830000165,0.0046188831329999624,0.042036116122999956,0.0023488402366640404,0.17927503585799998,4.1723300003848607e-07,0.0022587180140000163,2.9802299994496906e-07,1.7881400005137493e-07,0.10280525684399999,0.00065612793000002778,0.92370742559432983,6.9737429999605638e-06
0.87239999999999995,16333,1.680850999996597e-05,0.00075018405899995866,0.016389131546020952,0.0006194710729999775,0.99587093619629752,0.0050475001340000158,0.025821804999999975,0.00015848875000001872,0.0010778903960000363,0.0029106736180000148,0.0039574503899999502,0.031484544276999982,0.0020273327827450283,0.13629001379013095,2.9802299994496906e-07,0.0015155673029999539,2.3841899998711114e-07,1.1920900000461643e-07,0.087698459625000003,0.00040817260699999025,0.84318080544471741,4.4703479999963491e-06
0.89200000000000002,16333,1.2576579999978854e-05,0.00059384107600002345,0.014073133468628041,0.00051867961899998427,0.99414053047075868,0.0039141178129999954,0.0057835578920000241,0.00011920928999997749,0.00059205293700004269,0.002161920071000023,0.0034852623940000438,0.026517152785999976,0.0015694499015810326,0.103871464729,2.3841899998711114e-07,0.00077468156799997967,1.1920900000461643e-07,5.9605000046758505e-08,0.074834167957000042,0.0002446770670000431,0.72181445360183716,3.0994420000540757e-06
0.91159999999999997,16333,7.9274180000421524e-06,0.00048547983199997979,0.010315775871276966,0.00038218498200004447,0.99120542872697115,0.0024655461310000293,0.0025266408920000538,8.4221363000014371e-05,0.00027626752900000717,0.0016583800320000286,0.002937674522,0.017843961716000001,0.0013143420219420276,0.078357636928999996,1.7881400005137493e-07,0.00035673379900003077,5.9605000046758505e-08,5.9605000046758505e-08,0.065011918544999991,9.1612339000013421e-05,0.36456423997878995,1.847744000027518e-06
0.93120000000000003,16333,5.781650999958643e-06,0.00037556886699996461,0.0075024366379999874,0.00031924247699999242,0.97784935124219996,0.001900434494000014,0.00091123580899998835,6.0319900999972198e-05,0.0001662373540000095,0.0012212395670000431,0.0022846460340000263,0.011862218380000011,0.001045703887939009,0.060760438442230003,1.1920900000461643e-07,0.00014019012499999484,5.9605000046758505e-08,5.9605000046758505e-08,0.054091751575000013,3.9756298000015455e-05,0.091547369956970215,1.0728839999751827e-06
0.95079999999999998,16333,2.6226039999688311e-06,0.00028163194700003835,0.003992557526000029,0.00024503469500003483,0.85583247244399996,0.0013388991360000491,0.00016295909899999295,3.7312507999986977e-05,9.0241431999982247e-05,0.0007336139679999798,0.0017125010490000037,0.0073007941249999542,0.00063759088516202045,0.043786108493805043,5.9605000046758505e-08,5.3465366000038372e-05,5.9605000046758505e-08,0,0.043900370598000005,1.9788742000037551e-05,0.01970154047012318,4.1723300003848607e-07
0.97039999999999993,16333,7.1525599998345513e-07,0.0002062916759999478,0.0016686320304869495,0.00017797946900000028,0.0046226978300000221,0.00058650970499996014,4.1902064999987942e-05,2.419948599996502e-05,3.8623809999971392e-05,0.00025016069399996788,0.00089830160100001777,0.004620432854000045,0.00042837858200095447,0.021909534931000008,5.9605000046758505e-08,1.3530253999971542e-05,0,0,0.027997612952999962,5.7220460000229068e-06,0.0036232471466060012,1.7881400005137493e-07
0.98999999999999999,16333,5.9605000046758505e-08,8.7976456000005143e-05,0.00029474496841397357,9.5605850000013426e-05,0.00086933374400000041,0.00021594762800003497,7.2717669999944334e-06,4.0531160000467636e-06,1.2874603000034845e-05,1.7583370000018306e-05,0.00014495849600004718,0.0015591979029999647,0.0001616477966309704,0.008914709091000006,0,7.1525599998345513e-07,0,0,0.013876497745999972,1.1920929999797991e-06,7.9095363999970303e-05,0
